sentence,article,start,end,group,pred_v1,pred_v2,pred_v3,text_sha256
747,137,437,463,neither,mar,new_Deva,anp_Deva,d7d50508c181eb6dd2164a20ce81f48cd24bc0b3057ff5abbba9d0aaff312df1
748,137,475,633,hindi_marked,hin,hin_Deva,anp_Deva,777f17498a9fb03ed312a64c13b5a940e9f8d5db17e77e024a9d6ee6783307c9
749,137,634,769,hindi_marked,hin,hin_Deva,anp_Deva,424c454ae00497339df1461d319be186a2ca20f096829e7b18bad3d15dbce485
750,137,770,859,hindi_marked,hin,hin_Deva,anp_Deva,c472d1a7497aa84a0b2083062c685f4e136c2abdc747077df3c40b4df434f9ce
751,137,860,990,hindi_marked,hin,hin_Deva,anp_Deva,4b2c439641a6a3ba8a7d62764a79bf0b00a52c9ead1bbf3915dfcb8aa7622e99
752,137,991,1180,hindi_marked,hin,hin_Deva,anp_Deva,1f1a2276e0122f09cb75399c211d4818553de857d5a7bb59c19a606458499c31
753,137,1212,1324,hindi_marked,hin,hin_Deva,anp_Deva,f626e0b59ab88543ee5c93f1c62fbd7f9ddbf170bd4ab8f7c72a89ce1e5230ed
754,137,1325,1358,hindi_marked,hin,hin_Deva,anp_Deva,43a422ef54a47ced16a58272e158ce334e3e85507e7904ffc0d1102d9549a3cb
755,137,1362,1541,hindi_marked,hin,hin_Deva,anp_Deva,962d531dfdbdbdeef9a975c004a440ca724aa26d26031b48dcc3b886556dc5e8
756,137,1542,1635,neither,hin,hin_Deva,anp_Deva,18cffc82b089113aaae63b548d5dedd20ddca7f5845c83e476b7d7c69622a234
757,137,1636,1704,hindi_marked,hin,hin_Deva,anp_Deva,5f86f52169173caa8caaadd5e19c587ad57efea9c959dcd9536ae88219e3f448
758,137,1705,1765,hindi_marked,hin,hin_Deva,anp_Deva,d01cea344be17192934ee6e30798fb0c9ab8241c11eaf092b3e9668525ebb4ba
759,137,1766,1790,neither,hin,new_Deva,anp_Deva,7d2e370197c72d802ae93a0f9d65e6d52b521c606daa8c475b3b10bfc275b3fa
760,137,1791,1854,neither,hin,hin_Deva,anp_Deva,383e29ef2f361bc3113e4e6f38ed8cb6f48465f06e6e1318b78436018afb5b73
761,137,1855,1962,hindi_marked,hin,hin_Deva,anp_Deva,099bd259aa908b06a558668e8e86877e428a699523ea2436bd891af98bbacc98
762,137,1963,2314,hindi_marked,hin,hin_Deva,anp_Deva,53ca9a94aa5695548317651050086b6eb1710f47eab81d4e0af9df94c86d0b14
763,137,2315,2414,hindi_marked,hin,hin_Deva,anp_Deva,00e6722e0d705ae78920a78e169b88232fe88c9bfe896dc33d5ab2e5820a1bee
764,137,2415,2499,hindi_marked,hin,hin_Deva,anp_Deva,c51fff3df21a3cad0a4b052354f5a9b8ba5b1451f1ef055c82f3ef2ebb85cc23
765,137,2500,2561,neither,hin,hin_Deva,anp_Deva,1fb0152bbd13dec85e0c3849d2e7cf6cd95c443631991011c681e2dd1500c9d7
766,137,2562,2696,hindi_marked,hin,hin_Deva,anp_Deva,1c32f21c3f8ac713faef9b31c37fa77d329cecf8a55d04ac59c31e0ad6f10ee0
767,137,2697,2791,hindi_marked,hin,hin_Deva,anp_Deva,28d62a75c9bc22c0f1855c90f43ea3fd691990f7e6ba3bf6ce8c6496559658ca
768,138,64,186,angika_marked,mag,awa_Deva,anp_Deva,f28b683679a7883cc25e4ecf53f0cc6338936a79adc4aed3b77baf237f0caa19
769,138,187,357,angika_marked,mag,mai_Deva,anp_Deva,7a0142df49dfec9800f0b3a67cc5687349701af8cc041fc4f87200fa9b58d54f
770,139,0,45,angika_marked,bho,bho_Deva,anp_Deva,8e921243aef50bfd585c08e38727dee13216837ce4cb3e692afe51f9f913713d
771,139,46,120,angika_marked,hin,bho_Deva,anp_Deva,583b9f50407307e3c496319d150f745a8775eb6f6fe5a80a305257952bbeb47e
772,139,121,152,angika_marked,awa,awa_Deva,anp_Deva,c5da1b419f755e2f0cb25c29157a235b4267e6878fa7570ee7ec252a5dbe5001
773,139,153,226,angika_marked,mag,mai_Deva,anp_Deva,52f626e966d221499e7a7e1e7ea0debcb2c710961e6b58b30256f6ef76d5c28e
774,140,0,81,angika_marked,awa,awa_Deva,anp_Deva,b4244c1dbc378d8c9d99de055e6e2551c39f9b27f8921be4e7f4cb9024009b1c
775,140,82,122,angika_marked,mai,awa_Deva,anp_Deva,d3ec66edd0cfd8d98b9e78bbab2af9716041b87c1aee20fc580f4ed6f72f7412
776,141,0,48,angika_marked,mag,awa_Deva,anp_Deva,aac5c51e0e6019b5e02f7e8593a76f4ca3652c12d7a392039a502b23c35f7599
777,141,49,80,angika_marked,mai,awa_Deva,anp_Deva,5afb39489b350396107562f7c388e14ba16c0180a2b1b7b4d53e1bb9133bccc6
778,142,0,77,angika_marked,awa,awa_Deva,anp_Deva,c45ada7beb8e40ddd0f302c53a30057d73a5b9b1fe45bfdc98a0dd002578b82e
779,143,0,46,angika_marked,mag,bho_Deva,anp_Deva,fe38729e03aec60cd3fa92365de7ff0ae161dd47cc11a04b28a39b34551a6673
780,144,0,51,angika_marked,bho,mag_Deva,anp_Deva,7ca24927545c4a0ca0c5ef932951ed6a4118d90b15f1fcb16b1b4ef93d79da6e
781,144,52,99,angika_marked,mag,mai_Deva,anp_Deva,4d93adc9b47c22fbda02085d9064dd9ef03412c143b987af313f79f4f39e6841
782,144,100,141,neither,nep,mai_Deva,anp_Deva,c062a6221d8a92e50d862979bc37cd6169d820b5688e1a389cd766aac9caf547
783,144,142,275,neither,mag,mai_Deva,anp_Deva,4385234e59d9852e0921bdc4d051d0a7056bba322b7c3cbcad2d46cf64ed3350
784,144,276,325,neither,mag,awa_Deva,anp_Deva,9feac3ce848ec74047a5c646d604d9f0488bab68219e11d36425897b75e89b87
785,144,326,410,angika_marked,mag,mai_Deva,anp_Deva,ddf739319102dfaff2c099deb71cff84df9d8b7311f08b64341cd9c3de6e721d
786,144,411,526,hindi_marked,hin,hin_Deva,anp_Deva,db001f3715213aab72f55436492bdd9519a14db5451d6a34815333bf33615c45
787,144,527,639,neither,hin,hin_Deva,anp_Deva,2b10738113bc7e26964304ade5fe8df5ca8a8464c9b0d11d7afdf20e382e2db7
788,144,640,692,hindi_marked,hin,hin_Deva,anp_Deva,826f398be6a722aaa821a3b63c56a95980bab2d5cd2b5d0f43889bbf068c8eca
789,144,693,756,neither,hin,hin_Deva,hin_Deva,d5cf55a5d5c640683495525b955204f7c2d640d0f9ce88cd23aae76dfbe8cd85
790,144,757,795,hindi_marked,hin,hin_Deva,anp_Deva,bb17b04cd92302900ea72c11ec76c287d7f310974ce84c8af6ca3e9a3edc551d
791,144,796,950,hindi_marked,hin,hin_Deva,hin_Deva,56f8ff468adfa6e517463a0c3687a16d9f128f7d673977b6326a41a0a457e327
792,144,951,1001,hindi_marked,hin,hin_Deva,anp_Deva,f6a2a27b86a5bbf436b350073dc0675ea25468709fea126a1efd4d02768c8d44
793,144,1002,1052,neither,hin,hin_Deva,anp_Deva,4b3d3b462b3300bbfca1356c3dead58ddb6c93238b690ad425825f4b939c5f6a
794,144,1053,1091,hindi_marked,hin,awa_Deva,anp_Deva,3eeab210577c17aae17c7b568bcc90ddf3c81864413fa6a576569f85f1922dae
795,144,1092,1135,hindi_marked,hin,hin_Deva,anp_Deva,ad0ee86ab58d0790df62efa713a4df1a046f4eb9d4859d79129d6c7e76ee5c83
796,144,1136,1191,hindi_marked,hin,awa_Deva,anp_Deva,3eab7c24f6b17ab6d6ed626ad47ba90cb929e12e7ef652f037f094f0c1da376b
797,144,1192,1292,hindi_marked,hin,hin_Deva,anp_Deva,9876e5ab35c75603a5ba9b158c79da0e7ab33a65bd3a35b8afaa82beabababcb
798,144,1293,1399,hindi_marked,hin,hin_Deva,hin_Deva,242ce515ccf3b88276994326b3c2a1171600406edeffe9ba6bf19b1facfbe441
799,144,1400,1575,neither,hin,hin_Deva,anp_Deva,13294c002b3d38c6667e515bdbb5c2f086324e329db5d141f1fdb7b4d1db4fa2
800,144,1576,1704,hindi_marked,hin,hin_Deva,anp_Deva,c2f3bcc926e56340af11ce3dac8a70a89f7b4203f51943aed378fe0f2cee7ce1
801,144,1705,1867,hindi_marked,hin,hin_Deva,hin_Deva,1c6dbbc98ad2679e287bf690579c83676884fb5e75ec5e022c14d501c3712374
802,144,1868,1933,neither,hin,hin_Deva,anp_Deva,59e250ef1a37d925e282eb424b526fff0de6eb9eee63b865f04fd9650f7e6b77
803,144,1934,2159,hindi_marked,hin,hin_Deva,anp_Deva,b59f8fd48faf0084b60116dbbf383bc22d2de284ae6f690607984b3e7267dafe
804,144,2160,2304,hindi_marked,hin,hin_Deva,anp_Deva,40ea9a146f0700f196b25e9465685af3b43a69e9ba69a6178e9fd0089831186f
805,144,2305,2482,hindi_marked,hin,hin_Deva,hin_Deva,8ab10bb9286c1ff7ac26d5d10684cec04a1c31a553d1b536bd61fab05fcfa573
806,144,2483,2705,hindi_marked,hin,hin_Deva,hin_Deva,2b5b43f2107b0bca788fbd4cfd9f6622193ceed0d7ea99d18cdaac3a57cf839f
807,144,2706,2854,hindi_marked,hin,hin_Deva,hin_Deva,0547b51286fb174d842533e5594d80916765cad3227fcda6a092ff03825e51f3
808,144,2855,2910,neither,hin,mag_Deva,anp_Deva,6df26f4da580545eb4e58d52408a2b41e8d7469c0db5a0223e66af8a27f9e791
809,144,2911,3034,hindi_marked,hin,hin_Deva,anp_Deva,340ff568d332d8d69eee643a75a337cf2cae302d3e1c8cd66aa2a4e782a862b8
810,144,3035,3243,hindi_marked,hin,hin_Deva,anp_Deva,aba88ec045f9a67482543a68a78f1787b89ce3b7dadfe49ca841be6c7f9f9880
811,145,0,58,angika_marked,mag,mag_Deva,anp_Deva,2433a2622fb4c04e9a5a9ac7477afaaaaf0dd9fa0a38525982e59aa47f2130bc
812,145,59,224,angika_marked,mai,mai_Deva,anp_Deva,b2ab7d450a87c9fbcb47411a7535dc933c9109304dd5a4c88cd66ee7f19f8cbf
813,145,225,409,angika_marked,mag,mag_Deva,anp_Deva,eaccb436d603ec2eb7088796d88b35ae33f8523526451e2bd5ca5e851ea69544
814,145,410,528,angika_marked,mag,mai_Deva,anp_Deva,77f9140936a8e8a57092ce8cc978ebe920cd6534f03af487d72656aa1a67b1bc
815,145,529,590,angika_marked,mai,mai_Deva,anp_Deva,fb25ff80c4716972a7f0ee44e127598888578ffc0b7dc980e5b3081a4cd9b9c9
816,145,591,673,angika_marked,mag,awa_Deva,anp_Deva,59c0353db2ee205426f8679184ebfc9ad97c60272354351dd92e1c4e1b5dcb5e
817,145,674,741,angika_marked,mai,mai_Deva,anp_Deva,8db7247924add5d4a0258009b4ceef92f43d808b45d893cb1e6621bc07dac1e9
818,145,742,890,angika_marked,mag,mai_Deva,anp_Deva,91da74f3b6bff077b86cbe24223af81ec6c46d46a560f116063557f359e46384
819,146,0,68,angika_marked,bho,bho_Deva,anp_Deva,978fc3a6fff674010bc319b076d8fe8ec8bef00e49d48ca96705e44031767501
820,146,69,137,angika_marked,bho,awa_Deva,awa_Deva,5f9ef505d24a6012fb0c78a93fea0ee8abd3adb16db7969041979f12bad723e0
821,146,138,257,angika_marked,mag,mai_Deva,anp_Deva,2e178da1848c92c8fe9b3a59761f6fbc43ef481ff7ca280f2f508cdfdf70ad61
822,147,197,371,hindi_marked,hin,hin_Deva,hin_Deva,d9a8e131f18e7472af7ccedeca89303bfafcd643d17766d4d79fb79224fc5e17
823,148,0,48,angika_marked,bho,awa_Deva,anp_Deva,647dbccf9111fdf45bf00f9e1fa0420dc75970e9b56454961b9ccaf419357f3e
824,148,49,159,angika_marked,awa,awa_Deva,anp_Deva,b21053d027ca492b01ed444919f4c0ca8667ae250f5c52525402f17f19697754
825,148,160,281,angika_marked,awa,awa_Deva,anp_Deva,5b7330489eab4a0714c0cea4e96185eac2b534aa238f222dc039f68b5e6179a2
826,148,311,348,angika_marked,awa,mai_Deva,anp_Deva,4ab507cb0dd19b5aa748d595f6cec69d920411f8f29b64b22e9888cdc1230a71
827,148,349,434,angika_marked,mag,awa_Deva,anp_Deva,2158ac27140dd88cb59d87275c6c4bfa1f8aa72637cd0615d8c06a969b330b21
828,148,435,563,angika_marked,mai,mai_Deva,anp_Deva,963ad4a0b83dc689b50fc792bebc65d27d357f7df98b1a4683cb28c90fb7c399
829,148,564,712,angika_marked,awa,awa_Deva,anp_Deva,f3c09a62ee637037f8b43382d54d5c9d4aefd47fd4ddb3b78fdf41b77ee1d4cd
830,148,713,851,angika_marked,mag,mag_Deva,anp_Deva,1cd0f815f68cf1645d6c36c96e80cbcf694cc61ff3c972610d3183ff96c10b3e
831,149,0,57,angika_marked,mag,mag_Deva,anp_Deva,d2e06ca4f419e436c03bc70b81854b427468e03fd816309f5e8927b066f1b229
832,150,0,32,angika_marked,mag,mag_Deva,anp_Deva,28b0177c87ac066bccb94d8e1c912e3f033be44069c69679a7c7d961fc9f7215
833,151,0,160,angika_marked,mag,mai_Deva,anp_Deva,ec998c4a1d426cbb5299a71ed4958a0ea6c45be3cdb54c52907f0fe087af7bdf
834,151,161,216,angika_marked,mag,mai_Deva,anp_Deva,0b75407ad0318172685a37a7497a0bd090f028a36d50c9a2855b8794af56f6de
835,151,217,258,angika_marked,mag,mai_Deva,anp_Deva,da6ceb00b6204e93727b5cdc3bc95bdad74b2bb50f2f85a4222deb1cef4aeee7
836,151,259,311,angika_marked,mag,mag_Deva,anp_Deva,19ff64263e76f803e9211e524bbf01f68d19043602ff6f3849f4f676c74451e7
837,151,312,461,angika_marked,mai,mai_Deva,anp_Deva,004b0f0c36142c47248590d35821c92c95d2ef415a925982c33a769cbd5bda5c
838,151,462,663,angika_marked,mai,mai_Deva,anp_Deva,5a928e00829ee75e8038729b4d287c1aff1c53010fc8fd8457ee061f8080db5c
839,151,664,721,angika_marked,mag,mag_Deva,anp_Deva,f9ab4826abb0f290e5a521a0ddf92c47cd7342b21d65b45adb3c2f51793d1a08
840,151,722,826,angika_marked,mag,awa_Deva,anp_Deva,49ecda8a5f7d2bf55d6af4d33726a6bdbabf3c010120827622acab713ba752fd
841,151,827,990,angika_marked,mag,mai_Deva,anp_Deva,15e38f925d5ad592b15ce5179a5f8628f517489a65ebe15bd0489d623cbbf1ec
842,152,0,95,angika_marked,bho,mai_Deva,anp_Deva,b2e2df144b43658167e624c13accec38882414c450d8e08b3ce38412d9beb396
843,153,100,164,angika_marked,hin,mai_Deva,anp_Deva,9d3615d512301b7e534d8fd4320ce6b0763da4c2f17da67b79d14c2e7f28c624
844,153,165,212,angika_marked,mag,mai_Deva,anp_Deva,8b57cb439ff7f57b58ad1a1f7c6ba8170625e3e559de4883dbd38902c35e2b7b
845,153,213,256,angika_marked,awa,awa_Deva,anp_Deva,f1754f19fc7da6509a177e1322534da6075cc2b2d345b224f8e16904ac505fdb
846,153,257,436,angika_marked,mag,mai_Deva,anp_Deva,dc9feebcfe209d0f7e17a2ef9c96dccb20a981cf73f8fccfc1df21db1d6901a1
847,153,437,632,angika_marked,mag,mai_Deva,anp_Deva,bb4da626c0a856d429d98e104057c36b8f07c722487848d0bd47760e301ee985
848,154,0,66,angika_marked,mag,mai_Deva,anp_Deva,7c82802b6f371648a7002241845e2772185fed997999564ca7c07c3f2a78e8bc
849,154,67,172,angika_marked,mai,mai_Deva,anp_Deva,917292be011fa9f115fe225f554e8a16f5bad6e0fabddc5347d45d6702085082
850,154,173,249,angika_marked,awa,awa_Deva,anp_Deva,19a55b74f13a0c025ddc26c0719f7c053de7aa1ce39a95cd114b4ef2741ec106
851,154,250,323,angika_marked,mag,mai_Deva,anp_Deva,318d9dad8b845519a2cbdbd05c61dcc12580ee44d075acf0e6cba05b8a95947c
852,154,324,382,angika_marked,mai,mai_Deva,anp_Deva,35fa93a3549884dbf08f64a2e23895ae7f48db48958a14657e570b98d960ad8a
853,154,383,597,angika_marked,hin,mai_Deva,anp_Deva,a7e80882f7e5d4000a8442d52bc5151cddefff675903d5f89a41780bedf451ef
854,155,0,189,angika_marked,hin,mai_Deva,anp_Deva,551deb2d7f1983119ab7d54cb2cf1d13f43ce752d53ea375547246b20160ec25
855,155,198,336,angika_marked,bho,mai_Deva,anp_Deva,3d277eb84e1633e5f8880b4b4a6ca4a2d24bc4074dbcff6443eb3dbc428eeebf
856,156,0,31,angika_marked,mag,mag_Deva,anp_Deva,b2ce23b2298d38301e1cd6ed8bce20acf3fe53a4bf71181970e17e13ff362edb
857,157,0,147,angika_marked,mag,mai_Deva,anp_Deva,c1bec69807f7d6e608f4cbf5fa7c772be480154f923c8deafcccea99f721a52f
858,157,148,260,angika_marked,mag,mai_Deva,anp_Deva,faed7cfb5fa9805bdf074dabe33e8573d09bfa49f13d91fe894ef2994d1a15c4
859,157,261,424,angika_marked,hin,mai_Deva,anp_Deva,c0baa2012674f947f18e76f0da6a0052973e4badab690e140769ccf92f019849
860,157,425,568,angika_marked,mag,mai_Deva,anp_Deva,5ef7f58b585543e4c50a0b08a8de1d38dc929a6898e40c0a648ed74e298616f0
861,157,569,745,angika_marked,mai,mai_Deva,anp_Deva,b6642c6ea99e167a20a25d7ca69d14258f528db1c461e6dbd8fb90905640c4c6
862,157,752,874,angika_marked,hin,mai_Deva,anp_Deva,0ccbeafbfdb833b74bb30cc2e2b7aa60cd673e0adf2979cf4a0f7d2c698fc962
863,158,112,234,angika_marked,hin,mai_Deva,anp_Deva,e47d9fac10c8dca05bf074d924486078941d54f931186f5984a69a3724618adf
864,158,235,309,angika_marked,mai,mai_Deva,anp_Deva,2081e38c7c9fb385d8aec2ff23df5380518a8bd6a952bd39698b2019b9d693ad
865,158,310,370,angika_marked,mag,mag_Deva,anp_Deva,9a5ad6ff69d8c5ecae8ec737064c4dce20a6d8ac22103d267ad993a0540488e2
866,159,0,110,angika_marked,bho,bho_Deva,anp_Deva,9d1a5133f904effc97c66a8a264e847a15caec62863c735f8c7722b6873c7cb2
867,159,111,303,angika_marked,bho,bho_Deva,anp_Deva,6bb532f54be72425b04738ea5dea37b16b8c13a869f76d260e83277d41790c89
868,159,304,377,angika_marked,bho,mai_Deva,anp_Deva,bd144c99df376e8864ae957b12597edafa3713628f0ae352e4ec2c52edd6913c
869,159,378,460,angika_marked,bho,mai_Deva,anp_Deva,67ddd8fa8f4a1ff54ca4694f50df2dd374fa569815dd0e23d07fc9439ba073ec
870,160,0,108,angika_marked,bho,bho_Deva,anp_Deva,89d47f469821d59a446c4612968cbdc2c79fa7fc0c5e952fba8debd7c25cb0c2
871,160,109,313,angika_marked,bho,bho_Deva,anp_Deva,84458cc49a3ef258974877f5f26685f025d3cef2662a8729de3786ce050fa115
872,160,314,479,angika_marked,bho,mai_Deva,anp_Deva,7c2f2b91c6b3955c94a63dc049bb36ca496956b63d409ef7d972d7d460d7e6ec
873,161,0,31,angika_marked,mag,mag_Deva,anp_Deva,695e55f990a4245a19f75e20ec6b1f3576aff7bc8fcc1c4f4e9cc0df8613a724
874,162,0,76,angika_marked,bho,bho_Deva,anp_Deva,cd39b20d8571d278fb884e7cab296ec4027c5f976dce974f735ff1e1533ab17e
875,163,0,76,angika_marked,bho,bho_Deva,anp_Deva,cf127fa2ceada57c8e4ba5ca9900a10604f1b7430fd895ebca7730c3affca5e7
876,164,0,51,angika_marked,awa,awa_Deva,anp_Deva,59f5454431b1f84cfbf48f47c785e8fed8b85091febe80627ac3b399f9b26ae2
877,164,52,103,angika_marked,awa,awa_Deva,anp_Deva,621ef1a044103d1afada5ad7d159b89fccd46a41655fce6d9c2e8d85c96f5209
878,164,104,143,angika_marked,mai,awa_Deva,anp_Deva,fc3a388a870617f0f6ecbbcb3f213a6c291a7dfdea96d33d3d34448da299a19c
879,165,0,103,angika_marked,awa,awa_Deva,anp_Deva,48554b94e8bd7f00b4793d77b67cdda4c049b1af42d856eb9bebb6355de8dc41
880,166,0,152,angika_marked,mag,mag_Deva,anp_Deva,5e1e75a6a2265cddd20c61eb71a55ab1aaad92ae6a426689bfe53ae7ebcd24db
881,166,153,324,angika_marked,awa,awa_Deva,anp_Deva,56a3861195cd88ad0863f82f1c327fdb59e06749a08bee1b0da16fb945585824
882,166,325,470,angika_marked,bho,bho_Deva,anp_Deva,9d98b981c132f912f5b917b644701dfd60994099d8f8ef38d8a7564e2ef9639c
883,167,0,73,angika_marked,bho,bho_Deva,anp_Deva,35390c810062a9ced3a947ac569c6466cb4ed08c0fa87411fd56c92162622012
884,168,0,60,angika_marked,bho,mai_Deva,anp_Deva,bf976676a8c9dae1af01a3d778bab14a037c3be71568d23723d728bcf756ac0f
885,168,61,132,angika_marked,hin,mai_Deva,anp_Deva,780122fb73262dba4903ca9cfc087d7d5cc7d1121144e65b3e657d96999efe94
886,168,133,188,angika_marked,bho,bho_Deva,anp_Deva,c5e5aeabb8d39f73cd9312a19ced93859b2c26ff3ae5986efff134e528e4acba
887,169,0,126,angika_marked,bho,awa_Deva,anp_Deva,8649ce278ef859069f72f1a6aa06a64c78d6b547d633579a113e06820692cee2
888,170,0,27,angika_marked,mag,mag_Deva,anp_Deva,01593d32d13ef11df2bb4abac3911787585f8a5e9a571c0b3f662e566456f83d
889,170,54,162,angika_marked,awa,awa_Deva,anp_Deva,a5372cd84809cbb646a85d65606f21657758fd74e1c535ea7756b8c241666916
890,170,163,225,angika_marked,mai,awa_Deva,anp_Deva,905e44b3d96513142888918ec43396ffad5da015ccdfe2372857c2c26e4d3e99
891,170,226,495,angika_marked,mai,awa_Deva,anp_Deva,5c194731c577f9de4c8a9f26b85540d7aac0c991766e347177b31b16897343ed
892,170,496,584,angika_marked,awa,awa_Deva,anp_Deva,bd771516e10a6199c52c42f49934d69b025d7bec6aef54d2fe5256c3b7a835c5
893,170,585,628,angika_marked,kas,mai_Deva,anp_Deva,1a6b9f94d75df6ebf0ed1cb51b674a4097e97f3d1ff7aaaf2bf920912d195a94
894,170,629,682,angika_marked,mag,mai_Deva,anp_Deva,3cbfd9062b108db66ee7bed81f3909c4265253732c163a70e8e62b7ecdb17d05
895,170,683,871,angika_marked,hin,awa_Deva,anp_Deva,61ac97e354843fa55923ecc3a73a977043cb83541dd2f38523516b1872807612
896,170,872,1016,angika_marked,hin,mai_Deva,anp_Deva,f09e2e88b89a0843c5f7846f94d11bc4f3176e0e1ab408bab6a9b95492bc92ad
897,170,1017,1082,angika_marked,hin,mai_Deva,anp_Deva,0e8e32ecfe5d227984c661fcd7864c5ff97c14456dc5709a9c97ac3b8c16c7e5
898,170,1083,1194,angika_marked,mag,awa_Deva,anp_Deva,50bcc460fe7cfdd176aa1799ec38184c6e7277c44937add82a68b38e869f4131
899,170,1195,1379,angika_marked,awa,awa_Deva,anp_Deva,1193805cf94dac92b99571b4dc033098444c132ac5308694a9ae60ad10f66bac
900,170,1380,1563,angika_marked,mai,mai_Deva,anp_Deva,95ed38800d700eb3fb703b903f69d3bcf4ab5567c920fe368cf1285863c38aef
901,170,1564,1736,angika_marked,mai,mai_Deva,anp_Deva,891ebc04213296557a3d3be8b873243cdfe9f38251ab0fe33900947ff215515e
902,170,1737,2005,angika_marked,mag,mag_Deva,anp_Deva,5e69176ff9326a7e583e627cac7dc4ac9186d98280ae976467638841e465eadb
903,170,2006,2129,angika_marked,mag,mai_Deva,anp_Deva,5e09cb2fd80f6dd7ec8c8f487b8b3551eac7e770b975e735c5433c895a37718d
904,170,2130,2211,hindi_marked,hin,hin_Deva,anp_Deva,ac539e9a519758824c4a525391a8baec1152cbd2cfa6af7b140dff1d2684f081
905,170,2212,2380,hindi_marked,hin,hin_Deva,anp_Deva,b5d9953f77b78c10e2362b7aac663fd0a78575778e4faccb12061ef4cfa74a12
906,170,2381,2585,hindi_marked,hin,hin_Deva,anp_Deva,893e768b36f11b22a38c2d8bf267dcf2b147221da40b8c91bac7ac442fca4b9c
907,170,2586,2720,hindi_marked,hin,hin_Deva,anp_Deva,e1db0c196fa3f6ac7edddb1f0d1de5eb67877cac13d52040cc729810294c12ea
908,171,0,74,angika_marked,bho,awa_Deva,anp_Deva,cd6d6b826794596713763112acb89bb90ed88e5744624323659e22817dcc6264
909,171,75,179,angika_marked,awa,awa_Deva,anp_Deva,59e6cf8ddcde67916ef136c55b76fc0e8a3485f62cfb7be735817d8587b52759
910,171,180,267,angika_marked,awa,awa_Deva,anp_Deva,80676b0bdeda4450a5b0144a38fc1a3e09bb8e45b76090c3ff26a9af4c4d1f54
911,171,268,313,angika_marked,mai,mai_Deva,anp_Deva,868571d8c8d6a349d405e6ef8b47d20f52aad82e0736027d9979dc5ad3efdaff
912,171,366,508,angika_marked,mai,mai_Deva,anp_Deva,fe8ba30475078e9d2f88df280a12b00531f7b990a1154c150e98483c80e02c10
913,171,509,664,angika_marked,awa,mai_Deva,anp_Deva,ce35123cd9fcf0f0775547fb5abfd3005cc6f65a8d853f9579861561a6e4d205
914,171,665,742,angika_marked,mai,mai_Deva,anp_Deva,8be7e58dcd19d28bcfc71918b657eab603a588c31f1638b19f734e762a57a124
915,171,743,943,angika_marked,mai,mai_Deva,anp_Deva,54ccfd8960e694c01d24c1d99cf9aec368169c7551e3ed6f3e4522c760d99882
916,171,944,989,neither,mag,mai_Deva,anp_Deva,bbb604fe2efcebe42460913eb9ad50aba56b318f75d8fe520863502b06d6af53
917,171,990,1100,angika_marked,awa,mai_Deva,anp_Deva,8a7613d6fd9ab47c54e2bbeb2ae16f373ac82a11777ba5b23a7e05ef2738fc27
918,171,1101,1157,angika_marked,mai,mai_Deva,anp_Deva,fe6649c4da16dc06791e3361abb600f52f059e1954068c980e481a648ff0e835
919,171,1158,1218,angika_marked,awa,awa_Deva,anp_Deva,c1851a88ca3c7c53e5ef081b7b458a848dd32ab975e7b1e88cfe521be053a5f4
920,171,1219,1279,angika_marked,mai,mai_Deva,anp_Deva,1491efac198ba13ee5fb1c67e615c04b8ba73f3ccd122241642b550079752908
921,171,1280,1358,angika_marked,awa,awa_Deva,anp_Deva,c46bf7bd8ffb89de08e9ae4d635b7df3e1ad876a5e83510f9da7af24a7531bad
922,171,1359,1403,angika_marked,awa,awa_Deva,anp_Deva,4e4ddf5993f55b95052643cfac7479b0e13b812191caa661824862e4ab9a36c7
923,171,1404,1434,angika_marked,awa,awa_Deva,anp_Deva,8beee72e50c0f166738627da113b7edc543da09cc20f8e6bbb465c2072d7128c
924,172,0,117,angika_marked,bho,bho_Deva,anp_Deva,545f05617e84098b109b06429820ec1064c1825995f8c1414858c89060479d95
925,172,118,212,angika_marked,bho,mai_Deva,anp_Deva,cfc63d93fed1fcf469c9aa42c4eb4b5e070b6c035f6dba9d0af2d9a6792fe7fc
926,173,0,61,angika_marked,bho,bho_Deva,anp_Deva,5d6c184e4822a9f78132c41ac970be67672cc98ca765caa0d8a85c133bf05323
927,173,62,127,angika_marked,hin,awa_Deva,anp_Deva,1f1c3b3a074842f6cc7e9ae664c808223b515ed54d496a8371af570a000f3dec
928,173,128,235,angika_marked,mag,mai_Deva,anp_Deva,c266d7df7f8fc8daa2723b8214d1df3d4758279b67ffb7261db8b468ec79ce20
929,173,236,311,angika_marked,mag,mai_Deva,anp_Deva,0a21dc8e33e000a593804b4ecea14d08b48f16af36681e5cc95bb91bf0b9b5eb
930,173,312,360,angika_marked,mag,hin_Deva,anp_Deva,96b020e873fdae8e4a17bc94954bd83dc4ea728ccb3cce21afe491e6267911ba
931,173,361,470,angika_marked,mag,mai_Deva,anp_Deva,5009b2d8ee73d318668b3c84a1b71d663b0bf05684dc619a21b7ed4867977948
932,174,0,79,angika_marked,bho,bho_Deva,anp_Deva,e78b7d5dfefed28ee1d3fb270da5ea13d60dfedb9544ee3c088225ad7a08a6de
933,174,80,109,angika_marked,mag,awa_Deva,anp_Deva,0838eeca820d843fa4fd5f95e32e76c11b1546096953dc6917d0123ef539714b
